"id","code","name","contact","email","phone","address"
4,AF6182,Aero Fluid Products,,,"440-352-6182","313 Gillett Street, Paineville, OH, 44077"
7,AA4519,Atomic Aerospace,,,"661-621-4519","25345 Avenue Stanford #203, Valencia, CA, 91355"
9,AUTO-EMBEIN-905922,"EMBE Industries, Inc.",,,"818-548-8800","700 Ivy St., Glendale, CA, 91204"
6,GA0576,Gramercy Aerospace,,,"310-515-0576","17224 Gramercy Place, Gardena, CA, 90247"
10,HR5850,H & R Rubber and Tool,,,"818-899-5850","12455 Branford St. #17, Arleta, CA, 91331"
11,AUTO-NORTHR-909016,Northrop Grumman,,,"818-715-2764","21240 Burbank Blvd., Woodland Hills, CA, 91367"
12,AUTO-STRUCT-909667,"Structural Integrity Engineering, Inc.",,,"818-718-2195","9525 Vassar Ave., Chatsworth, CA, 91311"
3,SA8884,"Skurka Aerospace, Inc.",,,"805-484-8884","4600 Calle Bolero, Camarillo, CA, 93012"
5,TS1046,T-System,,,"818-631-1046","10231 Canoga Ave., #101, Chatsworth, CA, 91311"
13,RS6000,"Ryerson, Inc.",,,"602-455-3361","P.O. Box 91601, Lubbock, TX, 79490-1601"
14,DK9811,Dukes Aerospace,,,"818-700-8361","9060 Winnetka Ave., Northridge, CA, 91324"
2,BE5503,"BEI Precision Systems & Space Company, Inc.",,,"501-851-4000","1100 Murphy Dr., Maumelle, AR, 72113"
8,TA0731,Toronto Sky Aviation Inc.,,,"905-760-0731","30 Rayette Road, Vaughan, Ontario, L4K 2G3, Canada"
