Date,Name,Lot#,PO#,Part No.,Description,Rev.,Original,Qty PO,, Price , Total ,FAIR#,,Shipped Date,Qty Shipped,     Total ,Invoice No.,Residual Inv, Need/Remark ,Mat Leftover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/25,SA8884,L17509,P173086,412C-113,"Shaft, Seal Gland",NC,12/11/25,0, $30.50 , $-   ,,,,11/17/25,14, $427.00 ,17210,,from L16491,
11/15/25,BE5503,L17510,1011707,3055-239P2,"Clamp, Disc Un-matched (US80)",B,12/01/25,0, $289.00 , $-   ,,,,,, $-   ,,,,
11/15/25,SA8884,L17511,P174052,K942-B49291,"Cover, Connector Support",NC,01/23/26,10, $84.50 , $845.00 ,,AS,,,, $-   ,,,,
11/15/25,BE5503,L17512,1012036,801-28-0001-5,"ROD, Threaded 6-32 x 2.187 L",-,01/12/26,150, $12.50 ," $1,875.00 ",,,,,, $-   ,,,,
11/21/25,SA8884,L17513,P174267,K952-49885,"Cover, Connector",A,02/06/26,200, $15.75 ," $3,150.00 ",,AS,,,, $-   ,,,,
11/24/25,AF6182,L17514,P138095,1730-31-1,Cap Valve,J,12/02/25,1, $49.00 , $49.00 ,,,,11/24/25,1, $49.00 ,17214,,REF. LOT. L13568. These are legacy parts that were manufactured forAero Fluid Products on 12/20/2019 and were pulled from stock.,
11/24/25,AF6182,L17515,P138095,1730-31-1,Cap Valve,J,12/02/25,6, $49.00 , $294.00 ,,,,11/24/25,6, $294.00 ,17215,,REF. LOT. L13772. These are legacy parts that were manufactured forAero Fluid Products on 06/16/2020 and were pulled from stock.,
11/24/25,BE5503,L17516,1012069,100-2551-02,"Hub, Disk Mount",-,12/15/25,6, $80.00 , $480.00 ,,,,11/28/25,6, $480.00 ,17228,,,
11/24/25,SA8884,L17517,P174289,K207-A40482,"Cap, Rotor",C,03/05/26,100, $18.75 ," $1,875.00 ",,,,,, $-   ,,,,
11/24/25,SA8884,L17518,P174290,K342-C41638,Housing,J,03/05/26,50, $198.00 ," $9,900.00 ",,,,,, $-   ,,,,
11/24/25,SA8884,L17519,P174291,K213-B41950,"Cap, Brake",A,03/05/26,100, $39.25 ," $3,925.00 ",,,,,, $-   ,,,from L14566,
11/24/25,SA8884,L17520,P174291,K213-B41950,"Cap, Brake",A,05/05/26,100, $39.25 ," $3,925.00 ",,,,,, $-   ,,,from L15184,
11/24/25,SA8884,L17521,P174292,412C-111,End Bell Mounting Bracket,A,04/03/26,100, $26.00 ," $2,600.00 ",,,,,, $-   ,,,,
11/24/25,SA8884,L17522,P174295,420C-12-132,Endbell Rear,F,04/03/26,50, $34.00 ," $1,700.00 ",,AS,,,, $-   ,,,,
11/24/25,SA8884,L17523,P174297,420C-12-131,Endbell front,C,03/05/26,150, $44.00 ," $6,600.00 ",,,,,, $-   ,,,,
11/24/25,BE5503,L17524,1012086,80388-002,"Adapter, Frame Support",B,12/08/25,3, $199.00 , $597.00 ,,,,,, $-   ,,,,
11/26/25,BE5503,L17525,1012103,80389-002,Support Plate Modification,G,03/05/26,3," $1,060.00 "," $3,180.00 ",,,,,, $-   ,,,,
11/26/25,BE5503,L17526,1012104,81273-001,Shaft,B,02/16/26,10, $94.50 , $945.00 ,,,,,, $-   ,,,,
11/26/25,AF6182,L17527,P137780,421R135,Spool End,3,02/17/26,175, $168.00 ," $29,400.00 ",,,,,, $-   ,,,,
11/26/25,TS1046,L17528,10866,5393-36-1,"Hose, Connection",A,12/08/25,37, $17.75 , $656.75 ,,,,,, $-   ,,,,
11/26/25,TS1046,L17529,10866,5393-36-1,"Hose, Connection",A,12/08/25,6, $17.75 , $106.50 ,,,,,, $-   ,,,,
