Date,Part no.,Vendor PO,On time/Quality,Cutting Receiving/HT,Material Cert,"PO#, Qty",Company,Type,Spec.,Heat lot,Size,Length,Weight, Price , Cut Charge , Total ,Column1,Column2,Column3,,,,,,,,,,
02/15/13,,,,,,,Fry Steel,303SS,AMS5640,E110801,2  1/16,12,271, $2.72 ,, $737.12 ,,,,,,,,,,,,,
02/15/13,,,,,,,Fry Steel,410SS,AMS5613,G19244,1,12,32, $4.26 ,, $136.32 ,947.68,,,,,,,,,,,,
02/28/13,,,,,,,Pierce Spafford,6AL-4V,AMS4928,08459DD,  1/2 ,13.5,10, $38.00 ,, $380.00 ,,,,,,,,,,,,,
04/15/13,5399-29-1,,,,,,Pierce Spafford,17-4,AMS5643,528307,2  3/8 ,3,46, $3.25 ,, $149.50 ,,,,,,,,,,,,,
04/15/13,5399-30-1,,,,,,Pierce Spafford,17-4,AMS5643,G18395,3  1/8 ,"39""",85, $3.25 ,, $276.25 ,,,,,,,,,,,,,
05/02/13,5399-29-1,,,,,,Fry Steel,17-4,AMS5643,G18216,2  3/8 ,4,60, $4.39 , $12.00 , $275.40 ,298.81,,,,,,,,,,,,
05/24/13,,,,,,,Fry Steel,416SS,QQS 763,742951,2      ,12,253, $1.86 ,, $470.58 ,510.58,,,,,,,,,,,,
05/30/13,,,,,,,Industrial Metal,6061-T6511,QQA 200/8,HK103-663,1 X 1 3/4,12,,,, $62.50 ,,,,,,,,,,,,,
05/30/13,,,,,,,Industrial Metal,6061-T6511,QQA 200/8,HK079-728,3/4 X 1 1/2,12,,,, $40.00 ,,,,,,,,,,,,,
05/31/13,,,,,,,Fry Steel,303SS,AMS5640,745098,2  1/16,6,68, $3.98 , $9.00 , $279.64 ,303.41,,,,,,,,,,,,
06/01/13,,,,,,,Industrial Metal,6061-T6511,,,1/4 X 1/2,6,,,, $12.54 ,,,,,,,,,,,,,
06/20/13,,,,,,,Pierce Spafford,6AL-4V,AMS4928,Y35J, 19/25,"75""",6, $37.50 ,, $225.00 ,,,,,,,,,,,,,
07/05/13,"5385-24-7 (used 21"")",,,,," P111761, 2020",Pierce Spafford,6AL-4V,AMS4928,9G26004-01,1  1/2 ,"20""",6, $38.00 ,, $228.00 ,,,,,,,,,,,,,
07/12/13,,,,,,,Industrial Metal,6061-T6,,A8234,  1/8 ,12,,,, $5.33 ,,,,,,,,,,,,,
07/19/13,5528-94-1,,,,,"126397, 35",Pierce Spafford,316L,AMS5648,9FH0,1  3/8 ,12,62, $3.79 ,, $234.98 ,,,,,,,,,,,,,
07/19/13,5411-420-1,,,,,126395. 25,Pierce Spafford,17-4,AMS5643,259824,1      ,3,8, $3.98 ,, $31.84 ,,,,,,,,,,,,,
07/26/13,"5851-42-1
5851-42-1",,,,,"129751, 10, 2014",Industrial Metal,6061-T6511,QQA 200/8,21354552,5/8 HEX,12,,,, $20.00 ,,,,,,,,,,,,,
07/30/13,60D35,,,,,,Industrial Metal,303SS,ASTM-A-582,E3P4,  3/4 ,12,,,, $95.40 ,,,,,,,,,,,,,
08/20/13,1496-45-1,,,,,,Fry Steel,2024-T351,QQA 225/6,11120615-1,1/2 X 3/4,12,6, $5.11 ,, $30.66 ,33.27,,,,,,,,,,,,
08/22/13,5411-420-1,,,,,127992. 25,Pierce Spafford,17-4,AMS5643,H7H8,1      ,4,11,,, $65.00 ,,,,,,,,,,,,,
08/23/13,,,,,,,Fry Steel,6061-T6511,QQA 200/8,SY130618-03-1,1  1/2 ,2,4, $2.15 , $11.00 , $19.60 ,21.26,,,,,,,,,,,,
08/28/13,88D63,,,,,,Fry Steel,6061-T651 ,QQA 225/8,110314-4-0353,1  9/16,"32""",6, $3.26 ,, $19.56 ,21.22,,,,,,,,,,,,
09/03/13,"1869-26-1
5060-23-5",,,,,"144773, 10, 2018
8022, 50, 2019",Pierce Spafford,303SS,ASTM-A-582,E121616,  3/4 ,12,18, $3.88 ,, $69.84 ,,,,,,,,,,,,,
09/06/13,6005-32-10,,,,,,Fry Steel,Inconel 625,AMS5666,814190-2,1  3/8 ,12,,,," $1,440.92 ",,,,,,,,,,,,,
09/09/13,5373-21-1,,,,,,Industrial Metal,6061-T6511,ASTM-B-221,P23775058,2  3/8 ,12,,,, $124.00 ,,,,,,,,,,,,,
09/10/13,6005-26-2,,,,,,Rolled Alloy,6AL-4V,MIL-T-9047,8J29739,1      ,12,,,, $-   ,,,,,,,,,,,,,
09/10/13,6065-28-1,,,,,30,Fry Steel,6061-T6511,ASTM-B-221,SY130511-2-6,2.5 SQ,12,89, $2.20 ,, $195.80 ,,,,,,,,,,,,,
09/10/13,6065-35-1,,,,,30,Fry Steel,17-4,AMS5643,G20602,  1/2 ,12,8, $4.52 ,, $36.16 , $231.96 , $234.29 ,,,,,,,,,,,
09/16/13,6065-20-1,,,,,30,Fry Steel,6061-T6511,200/8,SY130618-03-7,1 1/4 X 2 1/2,12,44, $2.16 ,, $95.04 ,,,,,,,,,,,,,
09/16/13,6065-34-1,,,,,30,Fry Steel,6061-T6511,200/8,SY130502-03-3,2  1/32,5,19, $2.12 , $11.00 , $51.28 ,,,,,,,,,,,,,
09/16/13,6065-31-1,,,,,30,Fry Steel,2024-T351,225/6,1020530004-3,3/4 X 2,12,22, $5.02 ,, $110.44 ,,,,,,,,,,,,,
09/16/13,5204-40-1,,,,,,Fry Steel,17-4,AMS5643 1075,E130328,1  3/8 ,3.4,17, $5.44 ,, $92.48 , $349.24 , $378.92 ,,,,,,,,,,,
09/23/13,5204-41-1,,,,,,Fry Steel,17-4,AMS5643,A11634,1 3/8 sq,3,19, $7.57 , $11.00 , $154.83 ,,,,,,,,,,,,,
09/23/13,5204-40-1,,,,,"127991, 40 (2014)",Fry Steel,17-4,AMS5643 1075,G20600,1  7/16,6,33, $4.81 , $11.00 , $169.73 , $324.56 , $352.15 ,,,,,,,,,,,
09/26/13,,,,,,,Industrial Metal,6061-T6511,HK116-515,HK116-515,1 1/4 X 2 1/2,3,,,, $43.00 ,,,,,,,,,,,,,
10/01/13,"1909-41-1
1820-28-3
1820-28-1",,,,,"127209-1, 40",Rolled Alloy,6AL-4V,AMS 4928,H19112,1  1/8 ,24,47, $31.60 ,," $1,485.20 ",,,,,,,,,,,,,
10/03/13,"1909-69-1
5185-49-1, 2018",,,,,,Pierce Spafford,A286,AMS5732 RC 31 min,970239-03,  1/2 ,24,16, $12.95 ,, $207.20 ,,,,,,,,,,,,,
10/04/13,1909-69-1,,,,,,Pierce Spafford,A286,AMS5732 RC 31 min,568485-04,  3/8 ,24,9, $14.35 ,, $129.15 ,,,,,,,,,,,,,
10/09/13,"5132-25-1
5961-67-1
5895-27-1",,,,,"127210-1,75
137814-1,25 (2016)
138199-1, 10 (2016)",Pierce Spafford,6AL-4V,AMS4928,13BN,1      ,12,18, $29.90 ,, $538.20 ,,,,,,,,,,,,,
10/09/13,6065-32-1,,,,,,Fry Steel,13-8PH,AMS5629 H1000,601994-1,  3/8 ,12,5, $11.99 ,, $59.95 ,,,,,,,,,,,,,
10/11/13,90D78-1,,,,,,Industrial Metal,6061-T6 ,QQA 250/11,649747A3,3.3X4X.063,4,,,, $17.25 ,,,,,,,,,,,,,
10/15/13,101-6350B,,,,,,McMaster ,Black Delrin,,,1      ,6,, $5.06 ,, $30.36 ,,,,,,,,,,,,,
10/18/13,eq,,,,,,Fry Steel,410SS,AMS5613,G20433,1      ,6,16, $5.41 , $9.00 , $95.56 ,,,,,,,,,,,,,
10/18/13,eq,,,,,,Fry Steel,304SS,,, 5/8,3,3, $4.00 , $10.00 , $22.00 ,,,,,,,,,,,,,
10/24/13,1878-23-1,,,,,,Fry Steel,347SS,QQ-S-763,742944,1  1/2 ,6,36, $6.18 , $14.00 , $236.48 ,,,,,,,,,,,,,
10/24/13,1730-23-2,,,,,,Fry Steel,6061-T6511,QQA 200/8,SY130618-03-1,1  1/2 ,2,4, $2.12 , $11.00 , $19.48 ,,,,,,,,,,,,,
