Date,Part no.,Vendor PO,On time/Quality,Cutting Receiving/HT,Material Cert,"PO#, Qty",Company,Type,Spec.,Heat lot,Size,Length,Weight, Price , Cut Charge , Total 
07/26/22,101-5149-01,16853,yes,,Yes,"1008350, 5, 2023",Fry Steel,416SS,AMS 5610,G27012,1  1/8 ,"22.75""",,,, $50.13 ,,,,,,,,,,,,,
07/26/22,"83437-001
101-5156-01
A10848 (10/28/24 can send mat to HT but don't sent yet.)",16853,yes,,Yes,"1007946, 2
1008354, 15, 2023
P169202, 10, 2024",Fry Steel,416SS,AMS 5610,G26173,  7/8 ,"23""",,,, $33.42 ,,,,,,,,,,,,,
07/26/22,"101-5150-01
101-5151-01
3046-117P1",16853,yes,,Yes,"1007584, 5
1007584, 5
1007896, 5, 2023",Fry Steel,416SS,AMS 5610,757119,  1/2 ,"61.25""",,,, $57.85 ,,,,,,,,,,,,,
06/01/22,"5460-41-7
5460-41-2",16919,yes,,Yes,"P119581, 250 (may be not used)
P124487, partial, 2024",Titanium Industries,440C,AMS5630,973484(W89131),1  3/16,"6 ft 8""",,,, $165.60 ,,,,,,,,,,,,,
09/01/22,"1931-23-1
K1024-51020",16920,yes,,Yes,"P108322, 350
P161200, 20",Hadco Metal,316L,AMS5653,A14696,  3/4 ,36,54, $4.45 ,, $240.30 ,,,,,,,,,,,,,
09/06/22,5528-94-1,16921,yes,,Yes,"P121761, 35",Titanium Industries,316L,AMS5648,V79C(BM94004),1  1/2 ,12,72, $7.58 ,, $545.76 ,,,,,,,,,,,,,
09/09/22,1946-78-1  ,16931,yes,,Yes,"P108322, 50",Titanium Industries,17-4,AMS5643 H1075,G28930(2117896),2  3/8 ,12,433, $5.60 ,," $2,424.80 ",,,,,,,,,,,,,
09/09/22,1946-78-1,16931,yes,,Yes,"P108322, 50",Titanium Industries,17-4,AMS5643 H1075,281083(5735540),2  3/8 ,"5' 10""",433, $5.60 ,," $2,424.80 ",,,,,,,,,,,,,
09/13/22,60633,16934,yes,,Yes,"P118884, 25",Industrial Metal Supply,1018,ASTM A108,OT0031392,  5/8 ,20,,,, $75.00 ,,,,,,,,,,,,,
09/15/22,02-2509-3,16939,yes,,Yes,"P122177, 100",Titanium Industries,17-4,AMS 5643 H1025 ready,G28493(2115152),1  1/4 ,24,,,, $924.00 ,,,,,,,,,,,,,
09/15/22,5399-41-1,16940,yes,,Yes,"P120839, 50",Titanium Industries,17-4,AMS5643 H1075,287586(022027),1 1/2 x 2 1/2,12,153, $7.14 ,," $1,092.42 ",,,,,,,,,,,,,
09/16/22,6097-27-3,16945,yes,,Yes,"P108322, 1000",Fry Steel,17-4,AMS 5643 H1150D Precision ground. Next shipment will be April 2023,172900,  3/16,360,,,, $538.20 ,,,,,,,,,,,,,
