Topnotch Quality Works (Product Control Table),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41
,Part No.,02-1031,,Part Name.,"Link, APU Mount",,,Customer.,AF6182,                          Rev.,NC,,,,,,,,,,Rework in stock =,0,,Last lot stock =,14,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product Control Table,,,,,,,,,,,,QA Inspection Before shiping to Customer & Stock Control Table,,,,,,,,,,Take Out Stock,,,,,Follow up,,,,,,,,,,,,,,
No.,Lot Number,PO Number,Prod Qty,PO Date,Qty PO,Due Date,Qty Shipped,First article No:,*Remark Product Control,Tracking no.,Real Shipped Date,INCOMING STOCK,QA Inspection/AQL,Name Inspection,*Remark (QA Inspection),Rework/Repair,*Remark (Rework),Qty Reject,*Remark (Reject),Incoming Rework,Finish goods in stock,Lot Number,PO Number,Qty Take Out,Date Take Out Stock,,WIP,WIP Cont.,QTY Rework,Green Tag No.,Rework w/Lot,QTY Prod,QTY Shipped,Residual ,QTY Use,Balance,Scrap Later,From Lot,ST Status,Note,Date
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,L14169,P113366,35,2020-10-12 00:00:00,25,0218/21,24,10735,,,2021-02-18 00:00:00,11,,,,,,11,,,0,L14169,P113366,,,,,,,,,,24,0,,,,,Scanned,,
2,L14994,P118760,48,2022-01-18 00:00:00,12,2022-05-20 00:00:00,12,,Part got rejected ,776874759980,2022-05-16 00:00:00,36,,,,22,,14,,22,0,L14994,P118760,22,2022-06-07 00:00:00,,,,,,,,12,0,,,,,Scanned,,
3,L15231,P118760,22,2022-01-18 00:00:00,20,2022-05-20 00:00:00,20,,,777216971664,2022-06-23 00:00:00,2,,,,,,2,,,0,L15231,P118760,,,,,,,,,,20,0,,,,,Scanned,,
4,L15710,P123907,71,2023-01-24 00:00:00,35,2023-04-14 00:00:00,22,11194,mat PO 17193. Revised Date to 5/25.,772204678128                  772205064783,2023-05-20 00:00:00,49,,,,,,35,,,0,L15710,P123907,14,2023-05-23 00:00:00,,,,,,,,22,14,14,0,,,"Bell, Pete",Rpt,
5,L15710-1,P123907,14,2023-01-24 00:00:00,0,2023-05-25 00:00:00,13,,,1Z9V89920391671946,2023-05-23 00:00:00,1,,,,,,,,,0,L15710-1,P123907,1,2024-04-02 00:00:00,,,,,,,0,13,0,,,,L15710,Scanned,,
