Lot Number,PO Number,Prod Qty,PO Date,Qty PO,Due Date,Qty Shipped,First Article,Remark,Tracking No,Real Shipped Date
L15209,P120296,58,2022-04-27 00:00:00,50,2022-07-08 00:00:00,50,11076,,1Z9V89920395168135,2022-08-12 00:00:00
L15881,P124894,102,2023-03-28 00:00:00,37,2023-06-12 00:00:00,37,,Traveller 100 pcs.  ST Issued 7/17,1Z9V89920390907783,2023-09-06 00:00:00
L15881-1,P124894,62,2023-03-28 00:00:00,38,2023-10-10 00:00:00,38,,,1Z9V89920399787021,2023-09-29 00:00:00
L14712,26187,200,2021-07-26 00:00:00,100,2021-08-12 00:00:00,100,,,,2021-08-12 00:00:00
L15635,27429,100,2022-11-22 00:00:00,100,2022-11-29 00:00:00,100,,from L14712,1Z9V89920391970891,2022-11-28 00:00:00
L16225,28405,,2023-10-26 00:00:00,75,2023-12-25 00:00:00,75,,mat PO 17808,1Z9V89920391034116,2023-12-12 00:00:00
L16897,29881,14,2024-12-17 00:00:00,100,2025-01-06 00:00:00,14,,from L16225,1Z9V89920391035848,2024-12-31 00:00:00
L16898,29881,40,2024-12-17 00:00:00,0,2025-01-06 00:00:00,40,,from L14712,1Z9V89920391035848,2024-12-31 00:00:00
L16899,29881,8,2024-12-17 00:00:00,0,2025-01-06 00:00:00,8,,from L12729,1Z9V89920391035848,2024-12-31 00:00:00
L16907,29881,,2024-12-17 00:00:00,0,2025-01-06 00:00:00,38,,Use mat PO 18328,1Z9V89920395779538,2025-02-07 00:00:00
L14169,P113366,35,2020-10-12 00:00:00,25,0218/21,24,10735,,,2021-02-18 00:00:00
L14994,P118760,48,2022-01-18 00:00:00,12,2022-05-20 00:00:00,12,,Part got rejected ,776874759980,2022-05-16 00:00:00
L15231,P118760,22,2022-01-18 00:00:00,20,2022-05-20 00:00:00,20,,,777216971664,2022-06-23 00:00:00
L15710,P123907,71,2023-01-24 00:00:00,35,2023-04-14 00:00:00,22,11194,mat PO 17193. Revised Date to 5/25.,772204678128                  772205064783,2023-05-20 00:00:00
